Name,Population
Serra de Daró,211
Setcases,195
La Seu d'Urgell,12366
Seva,3488
Sidamon,706
Sils,5851
Sitges,28171
Siurana,150
Sobremunt,83
El Soleràs,359
Solivella,653
Solsona,9067
Sora,175
Soriguera,377
Sort,2237
Soses,1754
Subirats,3029
Sudanell,872
Sunyer,307
Súria,5999
Susqueda,95
Tagamanent,322
Talamanca,141
Talarn,413
Talavera,267
La Tallada d'Empordà,454
Taradell,6219
Tarragona,132199
Tàrrega,16587
Tarrés,105
Tarroja de Segarra,173
Tavèrnoles,317
Tavertet,125
Teià,6141
Térmens,1536
Terrades,288
Terrassa,215517
Tiana,8314
Tírvia,156
Tiurana,76
Tivenys,876
Tivissa,1760
Tona,8012
Torà,1202
Tordera,16345
Torelló,13949
Els Torms,148
Tornabous,911
La Torre de Cabdella,761
La Torre de Claramunt,3819
La Torre de Fontaubella,126
La Torre de l'Espanyol,676
Torre-serona,388
Torrebesses,291
Torredembarra,15475
Torrefarrera,4512
Torrefeta i Florejacs,601
Torregrossa,2235
Torrelameu,709
Torrelavit,1393
Torrelles de Foix,2308
Torrelles de Llobregat,5851
Torrent,170
Torres de Segre,2301
Torroella de Fluvià,704
Torroella de Montgrí,11381
Torroja del Priorat,160
Tortellà,772
Tortosa,33932
Toses,150
Tossa de Mar,5681
Tremp,6305
Ullà,1053
Ullastrell,2056
Ullastret,289
Ulldecona,6904
Ulldemolins,412
Ultramort,204
Urús,185
Vacarisses,6218
La Vajol,86
La Vall d'en Bas,2965
La Vall de Bianya,1305
Vall de Boí,992
Vall de Cardós,384
Vall-llobrega,901
Vallbona d'Anoia,1424
Vallbona de les Monges,262
Vallcebre,258
Vallclara,116
Vallfogona de Balaguer,1888
Vallfogona de Ripollès,215
Vallfogona de Riucorb,99
Vallgorguina,2699
Vallirana,14612
Vallmoll,1670
Vallromanes,2519
Valls,24570
Les Valls d'Aguilar,298
Les Valls de Valira,849
Vandellòs i l'Hospitalet de l'Infant,6047
La Vansa i Fórnols,210
Veciana,176
El Vendrell,36719
Ventalló,836
Verdú,964
Verges,1195
Vespella de Gaià,417
Vic,41956
Vidrà,169
Vidreres,7702
Vielha e Mijaran,5474
Vila-rodona,1264
Vila-sacra,681
Vila-sana,706
Vila-seca,21923
Vilabella,805
Vilabertran,913
Vilablareix,2529
Vilada,443
Viladamat,440
Viladasens,216
Viladecans,65358
Viladecavalls,7395
Vilademuls,787
Viladrau,1037
Vilafant,5481
Vilafranca del Penedès,39221
Vilagrassa,514
Vilajuïga,1190
Vilalba dels Arcs,682
Vilalba Sasserra,706
Vilaller,563
Vilallonga de Ter,421
Vilallonga del Camp,2229
Vilamacolum,307
Vilamalla,1103
Vilamaniscle,170
Vilamòs,171
Vilanant,399
Vilanova d'Escornalbou,540
Vilanova de Bellpuig,1179
Vilanova de l'Aguda,228
Vilanova de la Barca,1120
Vilanova de Meià,422
Vilanova de Prades,126
Vilanova de Sau,314
Vilanova de Segrià,930
Vilanova del Camí,12506
Vilanova del Vallès,5250
Vilanova i la Geltrú,65941
Vilaplana,630
Vilassar de Dalt,8882
Vilassar de Mar,20185
Vilaür,153
Vilaverd,487
La Vilella Alta,129
La Vilella Baixa,202
